band_name,times_played,years_played
-16-,1,"(2018,)"
Abhomine,1,"(2018,)"
Abigail,1,"(2013,)"
Aborted,2,"(2003, 2005)"
Abscess,2,"(2005, 2009)"
Absu,2,"(2009, 2012)"
Abuse,1,"(2003,)"
Abyssal,1,"(2019,)"
ACxDC,1,"(2014,)"
Accused AD,1,"(2019,)"
Acheron,1,"(2017,)"
Acid King,1,"(2017,)"
Acid Witch,2,"(2011, 2022)"
Adversarial,1,"(2015,)"
Aeternus,1,"(2015,)"
Afgrund,1,"(2008,)"
The Afternoon Gentlemen,1,"(2016,)"
Agalloch,2,"(2012, 2014)"
Agenda of Swine,1,"(2009,)"
Agents of Abhorrence,1,"(2012,)"
Agoraphobic Nosebleed,2,"(2015, 2017)"
Ahumado Granujo,1,"(2013,)"
Akercocke,1,"(2017,)"
Alarum,1,"(2006,)"
Ambassador Gun,1,"(2013,)"
Amoebic Dysentery,1,"(2005,)"
Amorphis,1,"(2015,)"
Ampallang Infection,1,"(2019,)"
Anaal Nathrakh,3,"(2008, 2015, 2019)"
Anata,1,"(2006,)"
Angelcorpse,2,"(2016, 2017)"
Anhedonist,1,"(2013,)"
Anoxia,1,"(2003,)"
Antaeus,1,"(2013,)"
Antichrist Siege Machine,1,"(2022,)"
Antigama,2,"(2009, 2015)"
Anvil,1,"(2012,)"
Aosoth,1,"(2013,)"
Archagathus,1,"(2014,)"
Archgoat,1,"(2012,)"
Arcturus,1,"(2015,)"
Arkhon Infaustus,1,"(2018,)"
Arsis,1,"(2004,)"
Artery Eruption,1,"(2003,)"
Artificial Brain,1,"(2015,)"
Artillery,1,"(2012,)"
Ascended Dead,1,"(2018,)"
Ascension,1,"(2013,)"
Asphyx,3,"(2009, 2010, 2014)"
Asthma Castle,2,"(2013, 2022)"
Asylum,1,"(2019,)"
At the Gates,1,"(2014,)"
Atheist,2,"(2009, 2022)"
Atrophy,1,"(2016,)"
Aura Noir,3,"(2009, 2011, 2015)"
Auroch,1,"(2016,)"
Autopsy,4,"(2010, 2012, 2017, 2022)"
Avulsed,1,"(2011,)"
Bad Acid Trip,1,"(2011,)"
Backslider,2,"(2012, 2015)"
Bandit,1,"(2018,)"
Bastard Noise,1,"(2011,)"
Behexen,1,"(2017,)"
Behold…The Arctopus,1,"(2008,)"
Benediction,2,"(2013, 2019)"
Bestial Evil,1,"(2018,)"
Bethlehem,1,"(2012,)"
Beton,1,"(2019,)"
Bile,2,"(2004, 2022)"
Biolich,1,"(2004,)"
Birdflesh,6,"(2005, 2007, 2009, 2014, 2017, 2022)"
Birds of Prey,1,"(2010,)"
Black Breath,2,"(2010, 2014)"
Black Witchery,1,"(2012,)"
Blood,1,"(2019,)"
Bloodbath,1,"(2015,)"
Blood Duster,2,"(2008, 2010)"
Blood Feast,1,"(2022,)"
Blood Freak,1,"(2011,)"
Blood Incantation,2,"(2018, 2022)"
Blood Red Throne,1,"(2015,)"
Bloody Phoenix,1,"(2012,)"
Blurring,1,"(2018,)"
Bodies in the Gears of the Apparatus,1,"(2004,)"
Bodies Lay Broken,1,"(2005,)"
Bongripper,2,"(2014, 2016)"
Bolt Thrower,2,"(2009, 2013)"
Bölzer,2,"(2014, 2018)"
Borknagar,1,"(2019,)"
Bound by the Grave,1,"(2018,)"
Bowel Erosion,1,"(2022,)"
Brodequin,3,"(2003, 2004, 2017)"
Broken Hope,2,"(2013, 2018)"
BruceXCampbell,1,"(2016,)"
Brujeria,1,"(2012,)"
Brutality,1,"(2019,)"
Brutal Truth,2,"(2007, 2009)"
Bulldozer,1,"(2015,)"
Butcher ABC,1,"(2006,)"
Buzzov*en,2,"(2011, 2016)"
БУТ,1,"(2014,)"
Cadaveric Incubator,1,"(2022,)"
Capitalist Casualties,2,"(2010, 2014)"
Captain Cleanoff,2,"(2010, 2017)"
Cancer,2,"(2014, 2022)"
Candlemass,2,"(2014, 2017)"
Carcass,2,"(2013, 2022)"
Cardiac Arrest,1,"(2022,)"
Carnivore AD,1,"(2019,)"
Castevet,2,"(2012, 2014)"
Cathedral,1,"(2011,)"
Catheter,2,"(2006, 2009)"
Cattle Decapitation,2,"(2006, 2009)"
Cavalera,1,"(2022,)"
Cenotaph,1,"(2006,)"
Centinex,1,"(2016,)"
Cephalic Carnage,3,"(2009, 2015, 2022)"
Cerebral Rot,1,"(2022,)"
Chainsaw to the Face,1,"(2015,)"
The Chasm,2,"(2010, 2019)"
Chepang,1,"(2017,)"
Churchburn,1,"(2019,)"
Church of Misery,2,"(2012, 2019)"
The Church of Pungent Stench,1,"(2014,)"
Cianide,2,"(2011, 2015)"
Circle of Dead Children,3,"(2003, 2004, 2008)"
Citizen’s Arrest,2,"(2011, 2013)"
Claudio Simonetti’s Goblin,1,"(2016,)"
Cliteater,1,"(2006,)"
Cloud Rat,1,"(2022,)"
Cobalt,1,"(2013,)"
Cock and Ball Torture,1,"(2007,)"
Coffin Dust,1,"(2019,)"
Coffins,3,"(2008, 2010, 2014)"
Cognitive,1,"(2017,)"
Cognizant,1,"(2018,)"
Coke Bust,2,"(2012, 2015)"
Come to Grief,1,"(2019,)"
Commit Suicide,1,"(2003,)"
The Communion,1,"(2010,)"
Complete Failure,1,"(2009,)"
Conan,2,"(2015, 2017)"
Confessor,1,"(2012,)"
Contrastic,1,"(2013,)"
Converge,2,"(2010, 2013)"
Convulse,1,"(2013,)"
Copremesis,1,"(2008,)"
Coroner,2,"(2011, 2022)"
Corrosion of Conformity,1,"(2011,)"
Corrupt Leaders,1,"(2015,)"
Cough,1,"(2012,)"
Coven,1,"(2018,)"
Craft,1,"(2016,)"
Creative Waste,2,"(2011, 2014)"
Cretin,1,"(2011,)"
Cripple Bastards,4,"(2007, 2011, 2014, 2018)"
Crossspitter,1,"(2022,)"
Crowbar,1,"(2014,)"
Crowpath,1,"(2009,)"
Cruciamentum,1,"(2013,)"
Crucifist,1,"(2010,)"
Crud,1,"(2017,)"
Cryptopsy,2,"(2005, 2017)"
Crypt Sermon,1,"(2016,)"
D.R.I.,3,"(2010, 2015, 2019)"
Daeva,1,"(2019,)"
Dark Angel,1,"(2014,)"
Darkened Nocturn Slaughtercult,1,"(2015,)"
Dark Fortress,1,"(2022,)"
The Day Everything Became Nothing,1,"(2008,)"
Dead,1,"(2008,)"
Dead Church,1,"(2016,)"
Dead Congregation,1,"(2011,)"
Dead Infection,1,"(2007,)"
Dead In The Manger,1,"(2019,)"
Death Toll 80k,1,"(2014,)"
Deceased,1,"(2010,)"
Decrepit Birth,1,"(2017,)"
Decrypt,1,"(2008,)"
Deeds of Flesh,1,"(2022,)"
Defeated Sanity,3,"(2008, 2011, 2018)"
Defeatist,2,"(2008, 2010)"
Dehumanized,2,"(2004, 2016)"
Deicide,2,"(2019, 2022)"
Deiphago,1,"(2013,)"
Deletere,1,"(2019,)"
Demigod,1,"(2012,)"
Demilich,3,"(2006, 2015, 2022)"
Demolition Hammer,2,"(2016, 2022)"
Demoncy,1,"(2015,)"
Demonic Christ,1,"(2016,)"
Demonical,2,"(2012, 2016)"
Denouncement Pyre,1,"(2016,)"
Deranged,1,"(2016,)"
Desaster,1,"(2016,)"
Despise You,2,"(2009, 2016)"
Despised Icon,1,"(2005,)"
Destroyed in Seconds,1,"(2018,)"
Deströyer 666,1,"(2009,)"
Destruction,1,"(2022,)"
Deviated Instinct,1,"(2012,)"
The Devil’s Blood,1,"(2012,)"
Devourment,4,"(2003, 2009, 2015, 2019)"
Die Choking,1,"(2017,)"
Die Pigeon Die,1,"(2012,)"
Diocletian,1,"(2014,)"
Disassociate,1,"(2019,)"
Disciples of Christ,1,"(2013,)"
Disfear,2,"(2006, 2008)"
Disharmonic Orchestra,1,"(2019,)"
Disgorge US,1,"(2016,)"
Disma,1,"(2012,)"
Dismember,1,"(2006,)"
Disparo,1,"(2017,)"
Divine Eve,1,"(2022,)"
Dødheimsgard,1,"(2018,)"
DOOM,2,"(2011, 2016)"
Doubled Over,1,"(2011,)"
Down,1,"(2013,)"
Dragged into Sunlight,2,"(2012, 2016)"
Drawn and Quartered,2,"(2015, 2022)"
Drogheda,1,"(2003,)"
Dropdead,3,"(2011, 2014, 2019)"
Drugs of Faith,1,"(2009,)"
Durian,1,"(2018,)"
Dusk,1,"(2018,)"
Dying Fetus,3,"(2003, 2008, 2012)"
Early Graves,1,"(2015,)"
Earth,1,"(2016,)"
Eddie Brock,1,"(2013,)"
Einherjer,1,"(2015,)"
Electric Wizard,1,"(2012,)"
Electro Quarterstaff,1,"(2006,)"
Embalmer,2,"(2006, 2017)"
Embludgeonment,1,"(2019,)"
Embryonic Cryptopathia,1,"(2006,)"
Enabler,1,"(2014,)"
Encoffination,1,"(2017,)"
The Endless Blockade,1,"(2009,)"
Endorphins Lost,2,"(2014, 2019)"
Enemy Soil,1,"(2018,)"
Enforced,1,"(2022,)"
Engorged,2,"(2008, 2015)"
Enthroned,1,"(2014,)"
Entombed,1,"(2010,)"
Entrails,1,"(2014,)"
Evoken,2,"(2013, 2018)"
Excel,1,"(2016,)"
Exciter,1,"(2016,)"
Excruciating Terror,1,"(2014,)"
Ex-Dementia,1,"(2017,)"
Exhale,1,"(2007,)"
Exhorder,2,"(2011, 2022)"
Exhumed,3,"(2004, 2011, 2017)"
Extermination Angel,1,"(2012,)"
Extinction of Mankind,1,"(2014,)"
Extortion,1,"(2011,)"
Extreme Noise Terror,1,"(2007,)"
Exumer,1,"(2017,)"
Eyehategod,3,"(2010, 2012, 2018)"
Fang,1,"(2010,)"
Father Befouled,1,"(2017,)"
Fiend,1,"(2017,)"
Final Conflict,1,"(2014,)"
Fissure,1,"(2017,)"
Flagitious Idiosyncrasy in the Dilapidation,2,"(2007, 2015)"
Flash Out,1,"(2017,)"
Fleshcrawl,1,"(2019,)"
Flesh Parade,3,"(2008, 2009, 2011)"
Fleshtized,1,"(2004,)"
Fluoride,1,"(2018,)"
Foetopsy,2,"(2003, 2007)"
Frizzi 2 Fulci,1,"(2022,)"
From Ashes Rise,1,"(2010,)"
Fuck…I’m Dead,1,"(2008,)"
Fuck the Facts,2,"(2007, 2010)"
Fucking Invincible,1,"(2017,)"
Fulgora,1,"(2015,)"
Full of Hell,3,"(2013, 2015, 2019)"
Funebrarum,2,"(2011, 2015)"
Future Terror,1,"(2018,)"
Gadget,1,"(2008,)"
Gasp,1,"(2018,)"
Gateway to Hell,1,"(2018,)"
General Surgery,4,"(2005, 2007, 2009, 2016)"
Genocide Pact,1,"(2017,)"
Gets Worse,1,"(2016,)"
Ghost,1,"(2011,)"
Ghoul,6,"(2005, 2007, 2008, 2012, 2015, 2022)"
Glorior Belli,1,"(2013,)"
Gnaw Their Tongues,1,"(2015,)"
Gnostic,1,"(2009,)"
Goatsnake,1,"(2015,)"
Goat Torment,1,"(2014,)"
G.O.D.,1,"(2019,)"
God Dethroned,1,"(2018,)"
Godflesh,2,"(2012, 2018)"
God Macabre,1,"(2014,)"
Gonkulator,1,"(2018,)"
Goolagoon,1,"(2017,)"
Goratory,2,"(2003, 2017)"
Gored,1,"(2003,)"
Gorerotted,1,"(2007,)"
Gorgasm,2,"(2006, 2017)"
Gorguts,2,"(2010, 2014)"
Gorod,2,"(2007, 2010)"
Gost,1,"(2017,)"
Grave,2,"(2008, 2017)"
Gravehill,1,"(2011,)"
Grave Miasma,1,"(2016,)"
Graves at Sea,1,"(2014,)"
Gravesend,1,"(2022,)"
Graveyard,1,"(2022,)"
Gride,2,"(2010, 2013)"
Gridlink,1,"(2010,)"
Grin and Bear It,1,"(2015,)"
Gronibard,1,"(2005,)"
Ground,2,"(2016, 2019)"
Gruesome,1,"(2016,)"
Gruesome Stuff Relish,1,"(2008,)"
GUT,1,"(2007,)"
Gutted,1,"(2018,)"
Guttural Secrete,2,"(2005, 2019)"
Haemorrhage,3,"(2006, 2012, 2016)"
Hail of Bullets,3,"(2009, 2011, 2016)"
Hard Charger,1,"(2019,)"
The Haunted,1,"(2016,)"
Heartless,1,"(2013,)"
Hellbastard,1,"(2012,)"
Hell Bent,1,"(2019,)"
Hellbringer,1,"(2016,)"
Hellnation,1,"(2008,)"
Hellshock,1,"(2013,)"
Helmet,1,"(2018,)"
Hemdale,1,"(2016,)"
Hero Destroyed,1,"(2009,)"
Hirax,1,"(2016,)"
Homewrecker,1,"(2015,)"
Hooded Menace,2,"(2011, 2014)"
Honkey Kong,1,"(2010,)"
Horna,1,"(2012,)"
Horrendous,1,"(2016,)"
Horrible Earth,1,"(2018,)"
Howl,1,"(2010,)"
Human Effluence,1,"(2022,)"
Hummingbird of Death,1,"(2019,)"
Hypocrisy,1,"(2022,)"
Ihsahn,1,"(2013,)"
Ilsa,1,"(2013,)"
